Date,VIX
2023-01-02,24.630887737658206
2023-01-03,29.547083202350652
2023-01-04,13.007162130904295
2023-01-05,22.814846183452854
2023-01-06,16.746787154390866
2023-01-09,17.56437308117652
2023-01-10,17.038030378805654
2023-01-11,15.68004615160092
2023-01-12,20.242608139724133
2023-01-13,15.84524941794481
2023-01-16,21.352284128899193
2023-01-17,19.748809452754315
2023-01-18,18.80525976566795
2023-01-19,15.462181689792011
2023-01-20,17.116143347158335
2023-01-23,23.77695612912878
2023-01-24,22.504585938121902
2023-01-25,15.112223776007244
2023-01-26,20.49666152714613
2023-01-27,23.756935616858947
2023-01-30,11.652973594393142
2023-01-31,22.716800961899676
2023-02-01,16.686881205270765
2023-02-02,22.852993342965796
2023-02-03,16.183704217287417
2023-02-06,10.975589496677404
2023-02-07,11.862287810584187
2023-02-08,20.24042473330691
2023-02-09,21.29861250860741
2023-02-10,15.478416874477958
2023-02-13,23.19296229388687
2023-02-14,11.6923996886552
2023-02-15,19.66960100676342
2023-02-16,13.944919001187717
2023-02-17,16.740819460989204
2023-02-20,20.23699335658207
2023-02-21,15.697933173580239
2023-02-22,18.077222278850872
2023-02-23,25.0314640460722
2023-02-24,17.115540652384254
2023-02-27,24.17846056032571
2023-02-28,14.35146572671191
2023-03-01,22.649020889576413
2023-03-02,27.207843103289502
2023-03-03,7.6417774993635526
2023-03-06,16.015523722647615
2023-03-07,22.8853606359027
2023-03-08,18.984773069785035
2023-03-09,21.855729366856544
2023-03-10,16.980074066420897
2023-03-13,20.4329489373645
2023-03-14,19.221613823039604
2023-03-15,25.838910308299035
2023-03-16,21.272104216506065
2023-03-17,21.68801331037601
2023-03-20,17.940615169387662
2023-03-21,17.561968879637533
2023-03-22,17.837209060901895
2023-03-23,21.972260711891483
2023-03-24,17.895077595898684
2023-03-27,21.448874284482066
2023-03-28,30.377003993227195
2023-03-29,24.355623517158463
2023-03-30,18.369882339160796
2023-03-31,26.006069610819722
2023-04-03,17.959623134892244
2023-04-04,9.80937732411073
2023-04-05,14.95956844541298
2023-04-06,10.646040394870722
2023-04-07,18.24243257979346
2023-04-10,20.092091895947757
2023-04-11,28.382186561376415
2023-04-12,21.634636868820813
2023-04-13,18.90449735595568
2023-04-14,24.147027905917447
2023-04-17,8.944323454960575
2023-04-18,21.178072790542828
2023-04-19,23.854325969434832
2023-04-20,12.607068771100792
2023-04-21,25.718770216034645
2023-04-24,21.69248203747207
2023-04-25,17.923560430495993
2023-04-26,23.163909330531425
2023-04-27,31.35346428902198
2023-04-28,20.909331275292477
2023-05-01,21.24110293150168
2023-05-02,17.70319550229878
2023-05-03,15.750778152676041
